	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 2.1	 0.0	 0.0	25	NEW_Plasma_SiO2_200C	
	 5.1	 0.0	 0.0	25	NEW_Plasma_SiO2_200C	
	 8.1	 0.0	 0.0	25	NEW_Plasma_SiO2_200C	
	11.1	 0.0	 0.0	25	NEW_Plasma_SiO2_200C	
	14.1	 0.0	 0.0	25	NEW_Plasma_SiO2_200C	
	17.1	 0.0	 0.0	25	NEW_Plasma_SiO2_200C	
	20.1	 0.0	 0.0	25	NEW_Plasma_SiO2_200C	
	23.1	 0.0	 0.0	25	NEW_Plasma_SiO2_200C	
	26.1	 0.0	 0.0	25	NEW_Plasma_SiO2_200C	
	29.1	 0.0	 0.0	25	NEW_Plasma_SiO2_200C	
	32.1	 0.0	 0.0	25	NEW_Plasma_SiO2_200C	
	35.1	 0.0	 0.0	25	NEW_Plasma_SiO2_200C	
	38.1	 0.0	 0.0	25	NEW_Plasma_SiO2_200C	
	41.1	 0.0	 0.0	25	NEW_Plasma_SiO2_200C	
	44.1	 0.0	 0.0	25	NEW_Plasma_SiO2_200C	
	47.1	 0.0	 0.0	25	NEW_Plasma_SiO2_200C	
	50.1	300.0	 0.0	25	NEW_Plasma_SiO2_200C	
	53.1	300.0	 0.0	25	NEW_Plasma_SiO2_200C	
	56.1	300.0	 0.0	25	NEW_Plasma_SiO2_200C	
	59.1	300.0	 0.0	25	NEW_Plasma_SiO2_200C	
	62.1	300.0	 0.0	25	NEW_Plasma_SiO2_200C	
	65.1	300.0	 0.0	25	NEW_Plasma_SiO2_200C	
	68.1	300.0	 0.0	25	NEW_Plasma_SiO2_200C	
	71.1	300.0	 0.0	25	NEW_Plasma_SiO2_200C	
	74.1	300.0	 0.0	25	NEW_Plasma_SiO2_200C	
	77.1	300.0	 0.0	25	NEW_Plasma_SiO2_200C	
	80.1	 0.0	 0.0	25	NEW_Plasma_SiO2_200C	
	83.1	 0.0	 0.0	25	NEW_Plasma_SiO2_200C	
	86.1	 0.0	 0.0	24	NEW_Plasma_SiO2_200C	
	89.1	 0.0	 0.0	24	NEW_Plasma_SiO2_200C	
	92.1	 0.0	 0.0	24	NEW_Plasma_SiO2_200C	
	95.1	 0.0	 0.0	24	NEW_Plasma_SiO2_200C	
	98.1	 0.0	 0.0	24	NEW_Plasma_SiO2_200C	
	101.1	 0.0	 0.0	24	NEW_Plasma_SiO2_200C	
	104.1	 0.0	 0.0	24	NEW_Plasma_SiO2_200C	
	107.1	 0.0	 0.0	24	NEW_Plasma_SiO2_200C	
	110.1	300.0	11.0	24	NEW_Plasma_SiO2_200C	
	113.1	300.0	 1.0	24	NEW_Plasma_SiO2_200C	
	116.1	300.0	 1.0	24	NEW_Plasma_SiO2_200C	
	119.1	300.0	 2.0	24	NEW_Plasma_SiO2_200C	
	122.1	300.0	 1.0	24	NEW_Plasma_SiO2_200C	
	125.1	300.0	 1.0	24	NEW_Plasma_SiO2_200C	
	128.1	300.0	 1.0	24	NEW_Plasma_SiO2_200C	
	131.1	300.0	 1.0	24	NEW_Plasma_SiO2_200C	
	134.1	300.0	 1.0	24	NEW_Plasma_SiO2_200C	
	137.1	300.0	 1.0	24	NEW_Plasma_SiO2_200C	
	140.1	 0.0	 0.0	24	NEW_Plasma_SiO2_200C	
	143.1	 0.0	 0.0	24	NEW_Plasma_SiO2_200C	
	146.1	 0.0	 0.0	23	NEW_Plasma_SiO2_200C	
	149.1	 0.0	 0.0	23	NEW_Plasma_SiO2_200C	
	152.1	 0.0	 0.0	23	NEW_Plasma_SiO2_200C	
	155.1	 0.0	 0.0	23	NEW_Plasma_SiO2_200C	
	158.1	 0.0	 0.0	23	NEW_Plasma_SiO2_200C	
	161.1	 0.0	 0.0	23	NEW_Plasma_SiO2_200C	
	164.1	 0.0	 0.0	23	NEW_Plasma_SiO2_200C	
	167.1	 0.0	 0.0	23	NEW_Plasma_SiO2_200C	
	170.1	 0.0	 0.0	23	NEW_Plasma_SiO2_200C	
	173.1	300.0	 1.0	23	NEW_Plasma_SiO2_200C	
	176.1	300.0	 2.0	23	NEW_Plasma_SiO2_200C	
	179.1	300.0	 1.0	23	NEW_Plasma_SiO2_200C	
	182.1	300.0	 2.0	23	NEW_Plasma_SiO2_200C	
	185.1	300.0	 2.0	23	NEW_Plasma_SiO2_200C	
	188.1	300.0	 1.0	23	NEW_Plasma_SiO2_200C	
	191.1	300.0	 1.0	23	NEW_Plasma_SiO2_200C	
	194.1	300.0	 1.0	23	NEW_Plasma_SiO2_200C	
	197.1	300.0	 2.0	23	NEW_Plasma_SiO2_200C	
	200.1	300.0	 1.0	23	NEW_Plasma_SiO2_200C	
	203.1	 0.0	 0.0	23	NEW_Plasma_SiO2_200C	
	206.1	 0.0	 0.0	22	NEW_Plasma_SiO2_200C	
	209.1	 0.0	 0.0	22	NEW_Plasma_SiO2_200C	
	212.1	 0.0	 0.0	22	NEW_Plasma_SiO2_200C	
	215.1	 0.0	 0.0	22	NEW_Plasma_SiO2_200C	
	218.1	 0.0	 0.0	22	NEW_Plasma_SiO2_200C	
	221.1	 0.0	 0.0	22	NEW_Plasma_SiO2_200C	
	224.1	 0.0	 0.0	22	NEW_Plasma_SiO2_200C	
	227.1	 0.0	 0.0	22	NEW_Plasma_SiO2_200C	
